sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,552,Abdul Hameed Master,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=552,VALLIKKUNNU,IUML,6,10th Pass,"Rs 3,02,34,747 ~ 3 Crore+",Rs 0 ~
2,557,Adv. Brm Shafeer,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=557,VARKALA,INC,0,Graduate Professional,"Rs 34,14,028 ~ 34 Lacs+","Rs 46,67,500 ~ 46 Lacs+"
3,700,Adv. Mons Joseph,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=700,KADUTHURUTHY,Kerala Congress,2,Graduate Professional,"Rs 1,89,09,273 ~ 1 Crore+","Rs 24,58,433 ~ 24 Lacs+"
4,131,A .K Saseendran,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=131,ELATHUR,NCP,0,10th Pass,"Rs 2,06,37,386 ~ 2 Crore+",Rs 0 ~
5,6,A .Saboora,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=6,THIRUVANANTHAPURAM,SUCI(C),0,12th Pass,"Rs 78,349 ~ 78 Thou+",Rs 0 ~
6,544,A C Biju,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=544,UDUMBANCHOLA,BSP,2,Graduate,"Rs 15,84,056 ~ 15 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
7,924,A C Jalaluddeen,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=924,PERAVOOR,SDPI,2,8th Pass,"Rs 26,10,122 ~ 26 Lacs+",Rs 0 ~
8,71,A G Ajayakumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=71,ETTUMANOOR,SUCI(C),0,10th Pass,"Rs 10,29,464 ~ 10 Lacs+",Rs 0 ~
9,405,A K M Ashraf,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=405,MANJESHWAR,IUML,2,Graduate,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=405&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=405&col=lia
10,576,A P Anilkumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=576,WANDOOR,INC,1,12th Pass,"Rs 68,87,138 ~ 68 Lacs+",Rs 0 ~
11,496,A P Gangadharan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=496,TALIPARAMBA,BJP,2,10th Pass,"Rs 35,02,500 ~ 35 Lacs+",Rs 0 ~
12,800,A Ramesh,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=800,KOZHIKODE NORTH,IND,0,10th Pass,"Rs 36,76,475 ~ 36 Lacs+","Rs 2,87,897 ~ 2 Lacs+"
13,1027,A Velayudhan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=1027,UDMA,BJP,5,Graduate,"Rs 1,02,35,258 ~ 1 Crore+","Rs 1,32,248 ~ 1 Lacs+"
14,659,A. Chandran,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=659,CHITTUR,BSP,0,8th Pass,"Rs 20,45,771 ~ 20 Lacs+",Rs 0 ~
15,197,A. Nagesh (Parameswaran.A),https://www.myneta.info/Kerala2021/candidate.php?candidate_id=197,PUTHUKKAD,BJP,13,10th Pass,"Rs 69,08,691 ~ 69 Lacs+","Rs 33,71,583 ~ 33 Lacs+"
16,33,A. Prabhakaran,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=33,MALAMPUZHA,CPI(M),0,Graduate,"Rs 60,67,834 ~ 60 Lacs+",Rs 0 ~
17,448,A.B. Jayaprakash,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=448,PARAVUR,Bharath Dharma Jana Sena,2,12th Pass,"Rs 2,83,15,499 ~ 2 Crore+","Rs 16,68,000 ~ 16 Lacs+"
18,168,A.C.Moideen,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=168,KUNNAMKULAM,CPI(M),1,8th Pass,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=168&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=168&col=lia
19,231,A.G. Ajayan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=231,ALUVA,SUCI(C),0,10th Pass,"Rs 66,60,484 ~ 66 Lacs+",Rs 0 ~
20,815,A.K.Moidheenkutty,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=815,KUNNAMKULAM,IND,0,5th Pass,"Rs 1,89,000 ~ 1 Lacs+",Rs 0 ~
21,5,A.Shyju,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=5,VATTIYOORKAVU,SUCI(C),0,12th Pass,"Rs 2,98,660 ~ 2 Lacs+",Rs 0 ~
22,474,Abdu Samad,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=474,POONJAR,Kerala Janatha Party,0,Graduate,"Rs 90,41,500 ~ 90 Lacs+","Rs 15,000 ~ 15 Thou+"
23,626,Abdul Gafoor K. K,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=626,BEYPORE,BSP,0,10th Pass,"Rs 7,15,000 ~ 7 Lacs+",Rs 0 ~
24,1012,Abdul Gafoor Pulikkal,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=1012,TIRUR,IND,0,5th Pass,"Rs 20,760 ~ 20 Thou+",Rs 0 ~
25,1011,Abdul Gafoor Valiya Peedikakkal,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=1011,TIRUR,IND,0,8th Pass,"Rs 15,25,068 ~ 15 Lacs+",Rs 0 ~
26,116,Abdul Jabbar K K,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=116,AZHIKODE,SDPI,3,10th Pass,"Rs 36,10,000 ~ 36 Lacs+",Rs 0 ~
27,1013,Abdul Mahroof A.K,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=1013,TIRUR,IND,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=1013&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=1013&col=lia
28,539,Abdul Majeed Panakkal,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=539,TIRURANGADI,BSP,0,5th Pass,"Rs 52,11,000 ~ 52 Lacs+",Rs 0 ~
29,758,Abdul Muneer,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=758,KODUVALLY,IND,0,8th Pass,"Rs 8,40,802 ~ 8 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
30,530,Abdul Nazar M K,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=530,THRITHALA,SDPI,0,10th Pass,"Rs 9,29,000 ~ 9 Lacs+",Rs 0 ~
31,1061,Abdul Raheem P S/O. Abdul Kareem,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=1061,KUNNAMANGALAM,IND,0,10th Pass,"Rs 24,94,004 ~ 24 Lacs+",Rs 0 ~
32,808,Abdul Raheem S/O. Hassan Koya,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=808,KUNNAMANGALAM,IND,0,10th Pass,"Rs 27,82,628 ~ 27 Lacs+",Rs 0 ~
33,391,Abdul Raheem. S,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=391,MALAMPUZHA,IND,1,10th Pass,"Rs 13,47,000 ~ 13 Lacs+",Rs 0 ~
34,761,Abdul Razak K S/O Ahmad Kutty,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=761,KODUVALLY,IND,0,10th Pass,"Rs 14,26,620 ~ 14 Lacs+",Rs 0 ~
35,347,Abdul Razak S/O Muhammed,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=347,KODUVALLY,IND,0,10th Pass,"Rs 80,95,049 ~ 80 Lacs+","Rs 25,00,000 ~ 25 Lacs+"
36,715,Abdul Samad. T S/O T Kunhamu Haji,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=715,KANHANGAD,SDPI,2,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=715&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=715&col=lia
37,165,Abdul Vahid,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=165,KUNNAMANGALAM,SDPI,1,10th Pass,"Rs 48,62,700 ~ 48 Lacs+",Rs 0 ~
38,828,Abdulla Puthiyaparambath,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=828,KUTHUPARAMBA,IND,0,8th Pass,"Rs 14,25,000 ~ 14 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
39,835,Abdulla S/O Pokker,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=835,KUTTIADI,IND,0,Literate,"Rs 26,91,047 ~ 26 Lacs+",Rs 0 ~
40,49,Abdurahim Naha,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=49,TIRURANGADI,IND,0,12th Pass,"Rs 75,24,796 ~ 75 Lacs+",Rs 0 ~
41,943,Abdurahiman Randathani,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=943,PUNALUR,IUML,0,10th Pass,"Rs 1,75,05,037 ~ 1 Crore+","Rs 87,82,011 ~ 87 Lacs+"
42,959,Abdurahiman.V S/O Alavi Haji,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=959,TANUR,IND,0,Literate,"Rs 30,33,500 ~ 30 Lacs+",Rs 0 ~
43,961,Abdurahiman.V S/O Muhammed,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=961,TANUR,IND,0,Not Given,"Rs 21,18,000 ~ 21 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
44,840,Abhayan.N.A,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=840,MANALUR,BSP,0,12th Pass,"Rs 20,48,500 ~ 20 Lacs+","Rs 2,80,000 ~ 2 Lacs+"
45,913,Abhilash K V,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=913,PAYYANNUR,IND,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=913&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=913&col=lia
46,199,Abhilash P P,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=199,PUTHUPPALLY,BSP,0,Graduate,"Rs 71,583 ~ 71 Thou+",Rs 0 ~
47,46,Abhilash Vadakkan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=46,THIRUVANANTHAPURAM,IND,0,10th Pass,"Rs 17,33,415 ~ 17 Lacs+",Rs 0 ~
48,1017,Aboobacker Sidheek,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=1017,TIRUR,IND,0,10th Pass,"Rs 36,00,000 ~ 36 Lacs+",Rs 0 ~
49,1054,Adil Abdurahiman Thangal,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=1054,VENGARA,IND,0,12th Pass,"Rs 83,96,187 ~ 83 Lacs+","Rs 13,833 ~ 13 Thou+"
50,929,Adv Abdul Afsal P T,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=929,PERINTHALMANNA,IND,0,Graduate Professional,"Rs 18,12,294 ~ 18 Lacs+",Rs 0 ~
51,98,Adv Eldose P Kunnapillil,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=98,PERUMBAVOOR,INC,3,Post Graduate,"Rs 1,52,54,414 ~ 1 Crore+","Rs 16,53,000 ~ 16 Lacs+"
52,259,Adv G Raman Nair,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=259,CHANGANASSERY,BJP,2,Graduate Professional,"Rs 1,70,89,500 ~ 1 Crore+","Rs 5,00,000 ~ 5 Lacs+"
53,457,Adv K K Sreedharan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=457,PAYYANNUR,BJP,0,Graduate Professional,"Rs 1,40,11,759 ~ 1 Crore+","Rs 3,50,000 ~ 3 Lacs+"
54,735,Adv K Shreekanth,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=735,KASARAGOD,BJP,10,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=735&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=735&col=lia
55,245,Adv. A Sreedharan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=245,ATTINGAL,Revolutionary Socialist Party,0,Post Graduate,"Rs 53,27,139 ~ 53 Lacs+","Rs 2,27,847 ~ 2 Lacs+"
56,103,Adv. A. N. Shamseer,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=103,THALASSERY,CPI(M),6,Post Graduate,"Rs 34,28,638 ~ 34 Lacs+",Rs 0 ~
57,130,Adv. A. Raja,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=130,DEVIKULAM,CPI(M),1,Graduate Professional,"Rs 33,15,231 ~ 33 Lacs+","Rs 95,697 ~ 95 Thou+"
58,473,Adv. A.M. Rohith,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=473,PONNANI,INC,8,Graduate Professional,"Rs 5,82,540 ~ 5 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
59,140,Adv. Anju Mathew,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=140,KADUTHURUTHY,BSP,0,Graduate Professional,"Rs 12,20,500 ~ 12 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
60,950,Adv. Anumol N.,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=950,RANNI,BSP,0,Graduate Professional,"Rs 11,000 ~ 11 Thou+","Rs 35,000 ~ 35 Thou+"
61,437,Adv. B Gopalakrishnan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=437,OLLUR,BJP,12,Graduate Professional,"Rs 4,39,77,042 ~ 4 Crore+","Rs 50,44,555 ~ 50 Lacs+"
62,350,Adv. Bindhu Krishna,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=350,KOLLAM,INC,35,Post Graduate,"Rs 55,37,000 ~ 55 Lacs+","Rs 69,414 ~ 69 Thou+"
63,709,Adv. Brijesh Kumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=709,KALLIASSERI,INC,2,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=709&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=709&col=lia
64,132,Adv. C. Dinesh,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=132,ERANAD,BJP,0,Post Graduate,"Rs 89,55,111 ~ 89 Lacs+","Rs 30,00,000 ~ 30 Lacs+"
65,417,Adv. C.N. Prakash,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=417,MUVATTUPUZHA,Twenty 20 Party,0,Post Graduate,"Rs 1,26,25,650 ~ 1 Crore+","Rs 9,19,789 ~ 9 Lacs+"
66,91,Adv. C.P. Promod,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=91,PALAKKAD,CPI(M),0,Graduate Professional,"Rs 2,58,94,422 ~ 2 Crore+","Rs 24,22,909 ~ 24 Lacs+"
67,214,Adv. D. K. Murali,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=214,VAMANAPURAM,CPI(M),4,Graduate Professional,"Rs 1,77,62,013 ~ 1 Crore+",Rs 0 ~
68,543,Adv. E.M. Augusthy,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=543,UDUMBANCHOLA,INC,11,Graduate Professional,"Rs 3,85,89,956 ~ 3 Crore+","Rs 1,63,05,146 ~ 1 Crore+"
69,453,Adv. Faizy. M. Pasha,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=453,PATHANAPURAM,SDPI,0,Graduate Professional,"Rs 53,99,689 ~ 53 Lacs+","Rs 8,06,159 ~ 8 Lacs+"
70,181,Adv. G. R. Anil,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=181,NEDUMANGAD,CPI,3,Graduate Professional,"Rs 1,28,32,849 ~ 1 Crore+","Rs 11,02,196 ~ 11 Lacs+"
71,244,Adv. G. Steephen,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=244,ARUVIKKARA,CPI(M),0,Graduate Professional,"Rs 37,28,543 ~ 37 Lacs+","Rs 5,51,511 ~ 5 Lacs+"
72,209,Adv. Gafoor P Lillis,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=209,TIRUR,CPI(M),0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=209&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=209&col=lia
73,425,Adv. J. R. Padmakumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=425,NEDUMANGAD,BJP,3,Graduate Professional,"Rs 3,68,02,595 ~ 3 Crore+",Rs 0 ~
74,832,Adv. Jacob Abraham,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=832,KUTTANAD,Kerala Congress,0,Graduate Professional,"Rs 1,68,11,096 ~ 1 Crore+",Rs 0 ~
75,299,Adv. Jaimon Thankachan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=299,KADUTHURUTHY,Samajwadi Jan Parishad,0,Graduate Professional,"Rs 7,64,000 ~ 7 Lacs+","Rs 5,38,000 ~ 5 Lacs+"
76,260,Adv. Job Maichil,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=260,CHANGANASSERY,Kerala Congress (M),3,Graduate Professional,"Rs 1,12,47,336 ~ 1 Crore+","Rs 25,25,000 ~ 25 Lacs+"
77,112,Adv. Jose Thettayil,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=112,ANGAMALY,JD(S),0,Graduate Professional,"Rs 2,58,65,686 ~ 2 Crore+","Rs 14,32,809 ~ 14 Lacs+"
78,685,Adv. K Francis George,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=685,IDUKKI,Kerala Congress,4,Graduate Professional,"Rs 6,22,01,976 ~ 6 Crore+","Rs 42,84,282 ~ 42 Lacs+"
79,241,Adv. K V Sabu,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=241,ANGAMALY,BJP,0,Post Graduate,"Rs 2,59,95,000 ~ 2 Crore+","Rs 52,00,000 ~ 52 Lacs+"
80,461,Adv. K V Sudheer,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=461,PERAMBRA,BJP,5,Graduate Professional,"Rs 1,45,94,452 ~ 1 Crore+","Rs 6,32,843 ~ 6 Lacs+"
81,864,Adv. K. Praveen Kumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=864,NADAPURAM,INC,15,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=864&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=864&col=lia
82,38,Adv. K. Premkumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=38,OTTAPALAM,CPI(M),4,Graduate Professional,"Rs 1,12,93,759 ~ 1 Crore+","Rs 5,00,000 ~ 5 Lacs+"
83,243,Adv. K. Sivadasan Nair,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=243,ARANMULA,INC,1,Post Graduate,"Rs 92,12,961 ~ 92 Lacs+","Rs 25,000 ~ 25 Thou+"
84,377,Adv. K.K.Aneeshkumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=377,KUNNAMKULAM,BJP,7,Post Graduate,"Rs 68,40,528 ~ 68 Lacs+","Rs 3,50,000 ~ 3 Lacs+"
85,253,Adv. K.M. Sachindev,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=253,BALUSSERI,CPI(M),7,Graduate Professional,"Rs 2,68,23,208 ~ 2 Crore+",Rs 0 ~
86,28,Adv. K.U Jenish Kumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=28,KONNI,CPI(M),7,Graduate Professional,"Rs 36,17,244 ~ 36 Lacs+","Rs 14,10,000 ~ 14 Lacs+"
87,206,Adv. M. Swaraj,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=206,THRIPUNITHURA,CPI(M),7,Post Graduate,"Rs 71,88,822 ~ 71 Lacs+",Rs 0 ~
88,83,Adv. M. Vincent,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=83,KOVALAM,INC,8,Graduate Professional,"Rs 21,45,924 ~ 21 Lacs+","Rs 39,84,810 ~ 39 Lacs+"
89,486,Adv. Manju K. Nair (Kottarathil),https://www.myneta.info/Kerala2021/candidate.php?candidate_id=486,RANNI,IND,0,Graduate Professional,"Rs 1,50,000 ~ 1 Lacs+","Rs 12,000 ~ 12 Thou+"
90,508,Adv. Mathew T Thomas,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=508,THIRUVALLA,JD(S),0,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=508&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=508&col=lia
91,803,Adv. Mubeena,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=803,KOZHIKODE SOUTH,IND,0,Graduate Professional,"Rs 14,92,000 ~ 14 Lacs+","Rs 10,000 ~ 10 Thou+"
92,684,Adv. Niyaz Bharati,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=684,HARIPAD,IND,1,Graduate Professional,"Rs 69,67,392 ~ 69 Lacs+","Rs 24,39,152 ~ 24 Lacs+"
93,367,Adv. Noorbeena Rasheed,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=367,KOZHIKODE SOUTH,IUML,0,Graduate Professional,"Rs 1,53,26,940 ~ 1 Crore+",Rs 0 ~
94,617,Adv. P Sudheer,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=617,ATTINGAL,BJP,7,Graduate Professional,"Rs 4,35,272 ~ 4 Lacs+",Rs 0 ~
95,119,Adv. P. A Mohamed Riyas,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=119,BEYPORE,CPI(M),12,Graduate Professional,"Rs 1,82,64,276 ~ 1 Crore+","Rs 5,40,013 ~ 5 Lacs+"
96,316,Adv. P. M Niyas,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=316,BEYPORE,INC,6,Post Graduate,"Rs 41,99,190 ~ 41 Lacs+","Rs 19,49,000 ~ 19 Lacs+"
97,166,Adv. P. T. A Rahim,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=166,KUNNAMANGALAM,IND,0,Graduate Professional,"Rs 1,20,48,264 ~ 1 Crore+",Rs 0 ~
98,169,Adv. P.V.Sreenijin,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=169,KUNNATHUNAD,CPI(M),0,Post Graduate,"Rs 15,36,52,638 ~ 15 Crore+","Rs 3,99,19,248 ~ 3 Crore+"
99,226,Adv. Pandalam Prathapan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=226,ADOOR,BJP,0,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=226&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=226&col=lia
100,254,Adv. Prakashbabu,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=254,BEYPORE,BJP,24,Post Graduate,"Rs 31,34,052 ~ 31 Lacs+","Rs 2,43,000 ~ 2 Lacs+"
101,489,Adv. Pramod Narayan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=489,RANNI,Kerala Congress (M),0,Graduate Professional,"Rs 2,83,16,397 ~ 2 Crore+","Rs 13,66,246 ~ 13 Lacs+"
102,682,Adv. Prince Lukose,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=682,ETTUMANOOR,Kerala Congress,4,Graduate Professional,"Rs 1,96,22,111 ~ 1 Crore+","Rs 11,38,486 ~ 11 Lacs+"
103,289,Adv. R. Sajilal,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=289,HARIPAD,CPI,2,Graduate Professional,"Rs 20,06,008 ~ 20 Lacs+",Rs 0 ~
104,938,Adv. Roshith. M.P.,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=938,PONNANI,IND,0,Graduate Professional,"Rs 40,60,500 ~ 40 Lacs+",Rs 0 ~
105,294,Adv. Sajeev Joseph,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=294,IRIKKUR,INC,2,Graduate Professional,"Rs 1,03,51,202 ~ 1 Crore+","Rs 5,62,338 ~ 5 Lacs+"
106,290,Adv. Sangeetha Viswanathan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=290,IDUKKI,Bharath Dharma Jana Sena,1,Post Graduate,"Rs 3,96,28,226 ~ 3 Crore+","Rs 24,37,303 ~ 24 Lacs+"
107,581,Adv. Sebastian,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=581,ERANAD,IND,0,Graduate Professional,"Rs 1,56,52,132 ~ 1 Crore+",Rs 0 ~
108,195,Adv. Sebastian Kulathunkal,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=195,POONJAR,Kerala Congress (M),1,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=195&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=195&col=lia
109,752,Adv. Sen A. G.,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=752,KAZHAKKOOTTAM,IND,0,Graduate Professional,"Rs 1,03,45,000 ~ 1 Crore+","Rs 10,00,000 ~ 10 Lacs+"
110,607,Adv. Shanimol Osman,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=607,AROOR,INC,7,Post Graduate,"Rs 2,50,60,619 ~ 2 Crore+","Rs 16,73,922 ~ 16 Lacs+"
111,332,Adv. Sumayya Najeeb,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=332,KARUNAGAPPALLY,SDPI,0,Graduate Professional,"Rs 16,46,750 ~ 16 Lacs+",Rs 0 ~
112,658,Adv. Sumesh Achuthan,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=658,CHITTUR,INC,4,Graduate Professional,"Rs 2,27,44,663 ~ 2 Crore+","Rs 1,89,97,745 ~ 1 Crore+"
113,424,Adv. Sunil Laloor,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=424,NATTIKA,INC,20,Graduate Professional,"Rs 79,93,000 ~ 79 Lacs+","Rs 55,37,709 ~ 55 Lacs+"
114,923,Adv. Sunny Joseph,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=923,PERAVOOR,INC,0,Graduate Professional,"Rs 87,15,057 ~ 87 Lacs+","Rs 51,30,585 ~ 51 Lacs+"
115,884,Adv. T. K Ashokkumar,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=884,NILAMBUR,BJP,8,Graduate Professional,"Rs 40,15,744 ~ 40 Lacs+","Rs 19,73,392 ~ 19 Lacs+"
116,176,Adv. T.K. Rasheedali,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=176,MANKADA,CPI(M),0,Graduate Professional,"Rs 3,35,44,457 ~ 3 Crore+","Rs 8,51,686 ~ 8 Lacs+"
117,507,Adv. Thomas Mathew (Roy),https://www.myneta.info/Kerala2021/candidate.php?candidate_id=507,THIRUVALLA,IND,0,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=507&col=ta,https://myneta.info/image_v2.php?myneta_folder=Kerala2021&candidate_id=507&col=lia
118,476,Adv. Tomy Kallany,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=476,POONJAR,INC,1,Graduate Professional,"Rs 2,07,22,258 ~ 2 Crore+","Rs 67,48,327 ~ 67 Lacs+"
119,333,Adv. U. Prathibha,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=333,KAYAMKULAM,CPI(M),4,Graduate Professional,"Rs 49,57,316 ~ 49 Lacs+","Rs 24,92,505 ~ 24 Lacs+"
120,401,Adv. U.A. Latheef,https://www.myneta.info/Kerala2021/candidate.php?candidate_id=401,MANJERI,IUML,2,Graduate Professional,"Rs 2,83,94,930 ~ 2 Crore+","Rs 10,40,145 ~ 10 Lacs+"
